platform,determinacy_quintile,mean_determinacy,mean_volume_z,se_volume_z,n
Kalshi,1,0.5144275805793554,0.21488246898512273,0.02149709194565075,2451
Kalshi,2,0.564,-0.01572085928497092,0.015238547203122467,2450
Kalshi,3,0.6104530612244898,-0.12745816794076908,0.019435199074233047,2450
Kalshi,4,0.6863542857142858,-0.09464347179835217,0.021792565314260322,2450
Kalshi,5,0.7550555102040816,0.022852322908770928,0.02156363532040495,2450
Polymarket,1,0.4050068212824011,0.31612260422250693,0.040410882608619615,733
Polymarket,2,0.4959398907103825,0.08493257503288346,0.040611182211070344,732
Polymarket,3,0.5757216916780356,-0.09133303727507633,0.03349761086175703,733
Polymarket,4,0.6603387978142076,-0.1466001443583721,0.026476790405181753,732
Polymarket,5,0.7674897680763982,-0.16320612800301182,0.03878662181957261,733
