model,term,coefficient,std_error,p_value,ci_lower,ci_upper,n,r_squared,clusters
cohort_exposure_adjusted,determinacy_z,-0.12948493224349772,0.009271025947071316,2.491609328351138e-44,-0.14765580919949384,-0.1113140552875016,19500,0.15437382442668401,
complexity_separated,core_determinacy_z,-0.23595291909672364,0.010445965669491226,5.693254286751548e-113,-0.25642663559266826,-0.21547920260077902,19500,0.10595418865572892,
direct_ambiguity_count,ambiguous_terms_z,-0.023759539510023193,0.011400377915714924,0.03715097717099854,-0.04610386963497025,-0.0014152093850761348,19500,0.14490998915763176,
family_aggregated,determinacy_z,-0.10156610010007691,0.020030094349322486,3.964070661827118e-07,-0.14082436363168824,-0.06230783656846559,2754,0.46158448434497024,
leave_out_discretion_clarity,determinacy_without_discretion_clarity_z,-0.12808428252942736,0.008937291931650005,1.3919960584864343e-46,-0.14560105283478178,-0.11056751222407293,19500,0.1547521085612622,
leave_out_edge_completeness,determinacy_without_edge_completeness_z,-0.17109830534407391,0.009737716468574055,4.1318600706465186e-69,-0.19018387891414162,-0.1520127317740062,19500,0.15949954178013492,
leave_out_outcome_definition,determinacy_without_outcome_definition_z,-0.07081959312328663,0.010510100704684933,1.603153366803891e-11,-0.09141901197835814,-0.05022017426821512,19500,0.14718519825029086,
leave_out_source_specificity,determinacy_without_source_specificity_z,-0.13216573820789104,0.008640364972867921,8.091078623805141e-53,-0.14910054236799358,-0.11523093404778852,19500,0.1566929045238361,
leave_out_temporal_specificity,determinacy_without_temporal_specificity_z,-0.08260425195655183,0.009747273822686513,2.3588754814967113e-17,-0.10170855759646745,-0.0634999463166362,19500,0.14815842367863385,
main_composite,determinacy_z,-0.17818605359330122,0.00925270365031686,1.2159726873636339e-82,-0.19632101950754455,-0.1600510876790579,19500,0.09771850720839015,
main_series_clustered,determinacy_z,-0.17818605359330122,0.055739317849751883,0.0013897332039961858,-0.2874331091016455,-0.06893899808495696,19500,0.09771850720839015,2754.0
qualitative_contracts,determinacy_z,-0.03243746462988841,0.01741065675555714,0.062450864250310316,-0.0665617248179694,0.0016867955581925734,7725,0.191322287586977,
quantitative_contracts,determinacy_z,-0.06771200557577076,0.014185457392212797,1.811958659229898e-06,-0.09551499116873531,-0.0399090199828062,11775,0.15081546395917866,
resolved_cohort_adjusted,determinacy_z,-0.12203502531034624,0.00941520883517543,2.023105783261992e-38,-0.1404884955342134,-0.10358155508647908,18312,0.17705869949011788,
temporal_early_kalshi,determinacy_z,-0.18747878433197437,0.02346740097442716,1.3614502932066886e-15,-0.23347404505261177,-0.14148352361133698,3295,0.27909601053123045,
temporal_early_polymarket,determinacy_z,-0.044235854217248134,0.033525969400121015,0.1870185769488476,-0.10994554678827725,0.02147383835378098,2189,0.1696327264362516,
temporal_late_kalshi,determinacy_z,-0.07922960002906966,0.011392696530847117,3.5401470750104673e-12,-0.10155887491632443,-0.056900325141814895,7784,0.20959165801619994,
temporal_late_polymarket,determinacy_z,-0.129214287945048,0.019310572684037654,2.2108294185172506e-11,-0.16706231492660475,-0.09136626096349124,5060,0.17117094253244103,
within_family_kalshi,determinacy_within_z,-0.07746526242637868,0.08157390909097734,0.3422988491241048,-0.23734718632283874,0.0824166614700814,6443,0.017113267107984664,48.0
within_family_polymarket,determinacy_within_z,0.030303319470567375,0.027162188001641756,0.2645747487029103,-0.022933590753956453,0.0835402296950912,1048,0.05065009462004888,145.0
within_kalshi,determinacy_z,-0.20228654061343532,0.011139685148134045,1.0881422655747152e-73,-0.2241199223028938,-0.18045315892397684,12251,0.06860176385154415,
within_polymarket,determinacy_z,-0.1060420914226083,0.017041733347101507,4.893120504765408e-10,-0.1394432750170625,-0.07264090782815412,7249,0.15158868719455731,
